Model,Transforms,Lags,Lag Transforms,Lag Name,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1071_days
XGBRegressor,,"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function expanding_mean at 0x0000025C17E52840>], 7: [<function rolling_mean_14 at 0x0000025C10563C40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,26.199135909877576,37.01044600251374,51.648179311272266,60.01638738238041,60.777283176730535,59.690611760181376,52.338549340567454,49.63456854166614,46.03825418348562,49.59087786647973,51.943415089657094,50.18678857386448,48.328904648082755
Ridge,,"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function expanding_mean at 0x0000025C17E52840>], 7: [<function rolling_mean_14 at 0x0000025C10563C40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,25.176490448277512,29.33702054920416,48.95004485713153,69.66951580092314,102.05871291583071,132.7148430815118,181.21984963683542,169.4513823962195,148.29190266713107,124.22043561792538,133.04728899160668,131.21659044771124,136.57706089658456
Lasso,,"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function expanding_mean at 0x0000025C17E52840>], 7: [<function rolling_mean_14 at 0x0000025C10563C40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,25.004024242272344,30.740587508010076,36.02423792918582,36.7210575958205,38.95561615810597,42.32245501341882,48.75634820213804,52.125744017786516,68.14981954680303,88.92971427612095,105.62810496421942,97.15515280786293,285.08230960499003
XGBRegressor,,"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function rolling_mean_14 at 0x0000025C10563C40>], 7: [<function rolling_mean_30 at 0x0000025C17E52D40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,28.524181809548477,38.333936160467566,52.74151775194198,60.767915849014955,60.96894092885565,58.55733154533308,50.015307263494115,45.000771330500754,42.63095673890282,46.68868786860687,47.3308011004082,45.37168577373132,43.974294586760635
Ridge,,"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function rolling_mean_14 at 0x0000025C10563C40>], 7: [<function rolling_mean_30 at 0x0000025C17E52D40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,24.58885363470592,29.119259238922908,56.52867542726698,74.55494611166766,90.78717466037631,101.69727145642153,113.45241605305836,107.43581451867637,96.32529474628001,94.7118839908351,111.82551167202648,111.15351282616972,135.35333937366602
Lasso,,"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function rolling_mean_14 at 0x0000025C10563C40>], 7: [<function rolling_mean_30 at 0x0000025C17E52D40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,25.16647714680047,29.397929701257297,31.832883909208554,30.857679377839077,47.79563238748635,67.46964644481706,117.10704245907091,112.8036397521657,108.91339337509032,133.5791678268439,266.4206222507396,420.7122070892748,641.5721192728189
XGBRegressor,AutoDifferences(max_diffs=112),"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function expanding_mean at 0x0000025C17E52840>], 7: [<function rolling_mean_14 at 0x0000025C10563C40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,28.54495477693126,32.54582608693718,43.47341592771474,53.91942632658677,59.1490595216178,62.23875758013301,67.15729137936304,76.70951972405635,80.67022015409496,69.3867922415053,87.38781460717735,109.15567089725802,157.26147297283813
Ridge,AutoDifferences(max_diffs=112),"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function expanding_mean at 0x0000025C17E52840>], 7: [<function rolling_mean_14 at 0x0000025C10563C40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,33.48256151097664,34.88323966762588,68.2184002918959,118.74214209237151,213.84257277735327,300.05524020992374,468.71657656620124,494.7374068984271,448.742761682279,367.96654763793373,506.33990559531077,566.5139454578218,838.3279272857237
Lasso,AutoDifferences(max_diffs=112),"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function expanding_mean at 0x0000025C17E52840>], 7: [<function rolling_mean_14 at 0x0000025C10563C40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,26.90606221059516,30.04074629719004,31.486257039647334,30.41798339556757,52.436171403226304,81.33008281266325,176.98355880377977,228.0148100646933,241.91497025339248,209.7902401650207,258.70733732838096,319.05173287243616,513.6217215191575
XGBRegressor,AutoDifferences(max_diffs=112),"[1, 4, 5, 6, 9, 11, 20, 21, 28]","{1: [<function rolling_mean_14 at 0x0000025C10563C40>], 7: [<function rolling_mean_30 at 0x0000025C17E52D40>], 30: [<function expanding_mean at 0x0000025C17E52840>]}",lags_28_features_9,24.529501283181343,32.32883709029768,37.97635434300448,37.67406581977442,43.29731237858291,53.82843271657318,96.9380989747563,117.0116591927072,117.72630350192841,98.47163906872886,116.39152561003914,139.16566476368874,219.24698320216538
