Model,Transforms,Lags,Lag Transforms,Lag Name,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1180_days
XGBRegressor,,"[1, 3, 6, 13]","{1: [<function expanding_mean at 0x0000015E18AA2840>], 7: [<function rolling_mean_14 at 0x0000015E111A3C40>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,24.20130548439572,25.67646379268827,30.510984140939346,36.31047337883563,43.15087094684688,49.51211232746485,56.43616645441391,53.08670305741033,48.18306368357617,46.007768187653866,52.338165175328086,51.24252423366341,50.30339437418016
Ridge,,"[1, 3, 6, 13]","{1: [<function expanding_mean at 0x0000015E18AA2840>], 7: [<function rolling_mean_14 at 0x0000015E111A3C40>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,18.009529072525343,20.690975972463967,21.331235606338122,22.477154041935847,25.504005524197375,33.270633161162635,52.41227680320804,64.10861860991824,67.3516612252203,62.42844421628413,68.45014021554708,76.33252117202832,84.35500902456575
Lasso,,"[1, 3, 6, 13]","{1: [<function expanding_mean at 0x0000015E18AA2840>], 7: [<function rolling_mean_14 at 0x0000015E111A3C40>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,26.36431887942524,24.24378202416286,32.07956592837633,39.42848496030031,46.61952538301234,52.922383420353626,59.78486205090184,57.38087598383251,51.67212510233872,50.74876291752924,56.85617122689003,56.33370575036789,54.59981132461309
XGBRegressor,,"[1, 3, 6, 13]","{1: [<function rolling_mean_14 at 0x0000015E111A3C40>], 7: [<function rolling_mean_30 at 0x0000015E18ADA2A0>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,27.941626214952286,27.78030461080777,32.76593142190945,38.31362462826977,44.81760323004222,51.044673960059214,57.49901522709522,54.34307519855629,49.627734302991286,47.587365229021444,53.719272008937146,52.55377143371045,51.542325408477815
Ridge,,"[1, 3, 6, 13]","{1: [<function rolling_mean_14 at 0x0000015E111A3C40>], 7: [<function rolling_mean_30 at 0x0000015E18ADA2A0>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,17.603396595098246,28.708499548325683,28.22976643319981,26.528287029910103,26.058182300842418,31.63061853983946,52.76718087847907,67.34481170025374,70.16135521890052,58.95533154577773,64.29937902737272,73.47542408931062,76.86974198456934
Lasso,,"[1, 3, 6, 13]","{1: [<function rolling_mean_14 at 0x0000015E111A3C40>], 7: [<function rolling_mean_30 at 0x0000015E18ADA2A0>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,25.92278253892101,23.655598888284608,31.301185275575765,38.60479706132521,45.82821642085314,52.189192925612446,59.08634787147775,56.51115727962117,50.674400370650254,49.571807333344516,55.782784173349064,55.1810163957857,53.48273392261239
XGBRegressor,AutoDifferences(max_diffs=58),"[1, 3, 6, 13]","{1: [<function expanding_mean at 0x0000015E18AA2840>], 7: [<function rolling_mean_14 at 0x0000015E111A3C40>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,32.067385965485954,25.684976154306423,32.66010790672797,42.291753881906885,52.09467323009822,60.0889276272158,72.47144087628573,89.86620047675498,113.12552786236336,141.58279363012153,147.20214526895953,179.3977608984598,314.8729529111298
Ridge,AutoDifferences(max_diffs=58),"[1, 3, 6, 13]","{1: [<function expanding_mean at 0x0000015E18AA2840>], 7: [<function rolling_mean_14 at 0x0000015E111A3C40>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,34.87117880966497,83.24203589245064,98.97047819919327,114.15256842016565,118.37860785766875,111.67395507368975,153.75315541586195,307.388973376358,435.0808693642957,396.1173314929283,352.29949545179807,494.29751654210776,756.9898478320216
Lasso,AutoDifferences(max_diffs=58),"[1, 3, 6, 13]","{1: [<function expanding_mean at 0x0000015E18AA2840>], 7: [<function rolling_mean_14 at 0x0000015E111A3C40>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,25.82570952070224,22.349926098079344,26.813969995339626,33.62101104171776,41.20792561315068,48.1254789926596,55.9688225927535,54.6528382698637,50.629181306349835,52.88368309798489,60.053661593153265,63.4610891969385,78.0900970797207
XGBRegressor,AutoDifferences(max_diffs=58),"[1, 3, 6, 13]","{1: [<function rolling_mean_14 at 0x0000015E111A3C40>], 7: [<function rolling_mean_30 at 0x0000015E18ADA2A0>], 30: [<function expanding_mean at 0x0000015E18AA2840>]}",lags_15_features_4,80.09107211319625,132.29588821393727,129.63683733316526,121.23119975770929,107.25710006754494,94.53486468162096,84.19939017040504,128.69245069877192,200.49846895578796,242.50262333413164,214.06220994939721,262.1337813456219,417.54899183620876
