Model,Transforms,Lags,Lag Transforms,Lag Name,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1256_days
XGBRegressor,,"[1, 7, 9, 12]","{1: [<function expanding_mean at 0x0000017BC0D72840>], 7: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,49.88475531340184,56.7053678257809,52.504407416211286,48.325426091710646,45.243333368524915,43.144146151152995,49.64732779768275,55.84756027404752,53.48712165991976,52.110946683757476,51.25322890784,53.140172392036156,60.411260756394604
Ridge,,"[1, 7, 9, 12]","{1: [<function expanding_mean at 0x0000017BC0D72840>], 7: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,105.85746794398932,553.3103530234288,1830.2686301176302,6023.589024186301,20400.360803001793,50445.844920298914,236884.5117445517,3213499.8352046185,208422324.28326496,131997680416.06738,14136398364939.268,1.4756389296883188e+16,4.390611061988154e+28
Lasso,,"[1, 7, 9, 12]","{1: [<function expanding_mean at 0x0000017BC0D72840>], 7: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,54.2226384977858,209.93150681467725,506.91502843146895,1071.30598097219,2150.57250647479,3327.0425441814323,5512.196966980669,13541.70385524398,142723.84544854687,5170501.431825924,32385801.4380867,673345457.1718969,793824724887251.0
XGBRegressor,,"[1, 7, 9, 12]","{1: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 7: [<function rolling_mean_30 at 0x0000017BB943EB60>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,33.48079038406411,44.70331840845223,42.56737940640946,39.72157736553823,37.61285603430113,36.98784738571894,45.37251165947029,52.59957347749449,51.11716788532209,49.23002854134882,49.000949131811545,51.50423660667143,57.921178612245804
Ridge,,"[1, 7, 9, 12]","{1: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 7: [<function rolling_mean_30 at 0x0000017BB943EB60>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,76.94933154083589,203.2760586571768,638.6481623244756,2198.5195326673215,8520.742296549171,21833.25246945447,131676.73819176067,2389883.032639329,179833017.90922982,142744803556.1841,21913841530969.203,2.406632973041219e+16,1.7048568675531208e+29
Lasso,,"[1, 7, 9, 12]","{1: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 7: [<function rolling_mean_30 at 0x0000017BB943EB60>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,53.17543575758695,69.78763416725161,69.04512879386775,65.22396320237557,62.07358629698896,56.66385099471615,58.667720346377784,62.43562856047402,57.963289280666594,60.04089383348419,57.711516128981685,57.685879048858446,69.25641802512189
XGBRegressor,AutoDifferences(max_diffs=20),"[1, 7, 9, 12]","{1: [<function expanding_mean at 0x0000017BC0D72840>], 7: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,40.81695360843306,50.00909004657911,80.67058944422476,115.08748286849861,149.77633966733757,168.91005475314898,173.2867187231636,174.44015764662564,217.21903930926155,434.74256685097845,492.13156576928833,505.42797741802474,1376.506342852346
Ridge,AutoDifferences(max_diffs=20),"[1, 7, 9, 12]","{1: [<function expanding_mean at 0x0000017BC0D72840>], 7: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,171.27441018932365,709.3924037906445,1942.814136626649,5144.537653752184,13490.736988525587,26342.856348287834,71976.07907588134,429545.18870953587,12738227.619309483,2131774313.7882624,59528212503.90396,11581952546878.0,4.978037228692865e+22
Lasso,AutoDifferences(max_diffs=20),"[1, 7, 9, 12]","{1: [<function expanding_mean at 0x0000017BC0D72840>], 7: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,56.54396304687989,129.4691075885015,208.0559804560404,284.9007321285052,360.8519424294856,393.9607253212487,378.79859366768716,364.01642841129285,459.78758341975396,987.6522353890509,1120.8242931869672,1147.785334351664,3326.4799965767033
XGBRegressor,AutoDifferences(max_diffs=20),"[1, 7, 9, 12]","{1: [<function rolling_mean_14 at 0x0000017BC0D72D40>], 7: [<function rolling_mean_30 at 0x0000017BB943EB60>], 30: [<function expanding_mean at 0x0000017BC0D72840>]}",lags_15_features_4,240.75397418609558,608.7510321695456,901.7571451043037,1163.2781065473166,1413.8336048101787,1493.3900661303853,1361.2655338001719,1253.5066011935828,1538.4694002659228,3228.122706655101,3607.8397143177817,3645.137104811662,10143.800924758636
