Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_614_days
prophet,,45.7209017004345,35.33362984919262,32.580621347069936,29.530328880652945,28.1786482429202,31.479579327853212,32.299398941738474,31.84178908525489,33.08259961569725,34.315097674584486,33.82294280702832,33.81504673368711
prophet,AutoDifferences(max_diffs=341),36.13220402692841,43.35572849652883,108.04083042404422,193.3840275244534,294.12768677458826,342.781356313191,458.1766276110923,442.8753210958059,397.95540234854207,592.1032297840711,1185.4904270055322,1218.371921669283
prophet,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227)",45.7209017004345,35.33362984919262,32.580621347069936,29.530328880652945,28.1786482429202,31.479579327853212,32.299398941738474,31.84178908525489,33.08259961569725,34.315097674584486,33.82294280702832,33.81504673368711
prophet,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10)",45.7209017004345,35.33362984919262,32.580621347069936,29.530328880652945,28.1786482429202,31.479579327853212,32.299398941738474,31.84178908525489,33.08259961569725,34.315097674584486,33.82294280702832,33.81504673368711
prophet,LocalStandardScaler(stats_=[[49.00252779 51.10112067]]),63.78805846307175,47.94434701360183,91.77046004589138,173.06071379586712,286.06081689975696,349.24817961868933,586.8564819050221,668.8816024798214,627.058976171652,608.6262075460612,1091.5356053870023,1118.3556767181676
prophet,LocalMinMaxScaler(stats_=[[  5.1691023  286.54204218]]),45.76529802082938,34.54396268238339,31.742765534120572,27.97943916147771,26.678819490737766,29.73782854476988,30.60059003091755,30.282372511337126,31.94920553865444,33.52764932327689,33.13088810401669,32.84418166656783
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 3.36952770e-321]], upper=2.0)",43.0429218592697,34.01729414198078,31.087996840028136,28.178812635002494,26.416134626524773,28.75137674948329,29.88902213598524,29.667670563085537,31.04759359082395,32.37205322277514,32.22036936753537,31.98281177755005
prophet,AutoDifferences(max_diffs=341) | LocalStandardScaler(stats_=[[2.03754691e-02 3.20312752e+01]]),36.094792445289414,43.50995986082821,108.60507811985451,194.48819114980222,295.905482196349,344.9604529731154,461.2954285428134,446.0376860977331,400.9139454678474,596.5596038306832,1194.0343476609285,1227.1338874495973
prophet,AutoDifferences(max_diffs=341) | LocalMinMaxScaler(stats_=[[-213.24969597  358.98585895]]),125.78302195807586,214.42978738398315,349.7471878228715,496.78646184627223,648.4048722799201,709.6175897830213,835.1934021749565,780.354905413085,690.6232874910231,891.9046784086497,1504.7457655682795,1533.2980621651793
prophet,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227) | LocalStandardScaler(stats_=[[49.00252779 51.10112067]])",63.78805846307175,47.94434701360183,91.77046004589138,173.06071379586712,286.06081689975696,349.24817961868933,586.8564819050221,668.8816024798214,627.058976171652,608.6262075460612,1091.5356053870023,1118.3556767181676
prophet,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227) | LocalMinMaxScaler(stats_=[[  5.1691023  286.54204218]])",45.76529802082938,34.54396268238339,31.742765534120572,27.97943916147771,26.678819490737766,29.73782854476988,30.60059003091755,30.282372511337126,31.94920553865444,33.52764932327689,33.13088810401669,32.84418166656783
prophet,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 3.36952770e-321]], upper=2.0)",43.0429218592697,34.01729414198078,31.087996840028136,28.178812635002494,26.416134626524773,28.75137674948329,29.88902213598524,29.667670563085537,31.04759359082395,32.37205322277514,32.22036936753537,31.98281177755005
prophet,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10) | LocalStandardScaler(stats_=[[49.00252779 51.10112067]])",63.78805846307175,47.94434701360183,91.77046004589138,173.06071379586712,286.06081689975696,349.24817961868933,586.8564819050221,668.8816024798214,627.058976171652,608.6262075460612,1091.5356053870023,1118.3556767181676
prophet,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10) | LocalMinMaxScaler(stats_=[[  5.1691023  286.54204218]])",45.76529802082938,34.54396268238339,31.742765534120572,27.97943916147771,26.678819490737766,29.73782854476988,30.60059003091755,30.282372511337126,31.94920553865444,33.52764932327689,33.13088810401669,32.84418166656783
prophet,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",43.0429218592697,34.01729414198078,31.087996840028136,28.178812635002494,26.416134626524773,28.75137674948329,29.88902213598524,29.667670563085537,31.04759359082395,32.37205322277514,32.22036936753537,31.98281177755005
prophet_add_season30_5,,47.992112781320564,36.48728319425672,34.32594258238926,33.2641623846598,34.457640969315776,37.10934161861326,36.293464870677674,35.239916138180064,36.59325508967751,38.208471011708575,38.336749690200314,38.203863981881895
prophet_add_season30_5,AutoDifferences(max_diffs=341),36.15961395980914,43.239142088130144,107.60731169451898,192.5215389597414,292.7155269748849,341.02823088448423,455.5956291264214,440.2178341818633,395.4414909270095,587.9832083033822,1176.892092868724,1209.512781221427
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227)",47.992112781320564,36.48728319425672,34.32594258238926,33.2641623846598,34.457640969315776,37.10934161861326,36.293464870677674,35.239916138180064,36.59325508967751,38.208471011708575,38.336749690200314,38.203863981881895
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=341, max_season_length=227, n_seasons=10)",47.992112781320564,36.48728319425672,34.32594258238926,33.2641623846598,34.457640969315776,37.10934161861326,36.293464870677674,35.239916138180064,36.59325508967751,38.208471011708575,38.336749690200314,38.203863981881895
prophet_add_season30_5,LocalStandardScaler(stats_=[[49.00252779 51.10112067]]),71.19799271703505,55.59065948578071,101.86244720451269,200.15279604994888,338.77940990464526,418.48925508214006,668.857547514794,723.4003405890593,664.5465099447703,654.1564962628248,1202.950173476475,1332.6361324661343
prophet_add_season30_5,LocalMinMaxScaler(stats_=[[  5.1691023  286.54204218]]),48.07357171600858,36.21806533350328,33.98209793203782,32.6957964511218,33.87845042403657,36.41594716560646,35.67809612633129,34.6284022842716,35.99444673552681,37.886777341998794,38.826277422990046,38.64848310685661
prophet_add_season30_5,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 3.36952770e-321]], upper=2.0)",48.20473385481615,36.575128621146845,32.807398992871406,29.52517159636158,27.73479007223687,29.845656825346534,30.62440077486927,30.43156019238083,32.07175542094081,33.331059883446464,33.24406207566521,33.000884784206214
prophet_add_season30_5,AutoDifferences(max_diffs=341) | LocalStandardScaler(stats_=[[2.03754691e-02 3.20312752e+01]]),36.17799291851281,43.164022997818684,107.33690402493028,191.99964001557117,291.88627153439876,340.02172415131906,454.1864090296896,438.8064883443902,394.13340116986376,586.1309790476315,1173.557029801702,1206.1051551116277
prophet_add_season30_5,AutoDifferences(max_diffs=341) | LocalMinMaxScaler(stats_=[[-213.24969597  358.98585895]]),127.90881550332487,215.3211145433402,346.6004787338867,487.3615297419402,630.7028038200743,686.6287130452872,800.2382980493804,743.7584829233161,655.5587897076907,833.6128734848829,1384.7708686519452,1409.7610613151062
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=341, n_seasons=10, season_length=227) | LocalStandardScaler(stats_=[[49.00252779 51.10112067]])",71.19799271703505,55.59065948578071,101.86244720451269,200.15279604994888,338.77940990464526,418.48925508214006,668.857547514794,723.4003405890593,664.5465099447703,654.1564962628248,1202.950173476475,1332.6361324661343
