Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1256_days
prophet,,454.43324184804715,1458.4764835404485,2060.9894316681057,2252.455781321073,2445.995705172317,2644.818769611622,2444.936048673726,2448.36110454043,2412.0310232040165,5951.817101002571,6657.1088388707085,6587.354051275963,19022.366349160377
prophet,AutoDifferences(max_diffs=20),4274.924048466025,9180.813194041953,13958.961837222994,19405.104637372053,25696.24331991118,28621.229891003288,27597.537185246547,27282.157044622505,37321.99981679398,116711.00669588632,150177.5109542113,167145.83139067888,931780.10994348
prophet,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13)",454.43324184804715,1458.4764835404485,2060.9894316681057,2252.455781321073,2445.995705172317,2644.818769611622,2444.936048673726,2448.36110454043,2412.0310232040165,5951.817101002571,6657.1088388707085,6587.354051275963,19022.366349160377
prophet,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10)",454.43324184804715,1458.4764835404485,2060.9894316681057,2252.455781321073,2445.995705172317,2644.818769611622,2444.936048673726,2448.36110454043,2412.0310232040165,5951.817101002571,6657.1088388707085,6587.354051275963,19022.366349160377
prophet,LocalStandardScaler(stats_=[[30.48939862 11.50535468]]),14490.036153693574,22175.449641750023,23377.3991158667,22760.88638143994,23825.640061766477,24142.68750152232,21136.60334934452,20274.037686009087,18795.7328914162,50226.05686870027,52786.072318061066,50438.249956980675,142274.5628747533
prophet,LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]]),477.573059538535,1157.9469529962616,1514.5902024375334,1612.89990405451,1733.9550725836598,1842.673701714477,1682.101801677666,1626.2368389398225,1548.4317896757648,4315.13125443075,4696.896707608244,4481.79196863437,13273.636140295468
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.97626258e-322]], upper=2.0)",86.59595067779759,16814719204211.074,13954295786642.785,7.410787933609523e+16,1.557191933004875e+21,3.286057445318264e+27,1.309289635368745e+41,1.4552691732591598e+226,1.2127243110492998e+226,9.09543233286975e+225,7.276345866295799e+225,inf,inf
prophet,AutoDifferences(max_diffs=20) | LocalStandardScaler(stats_=[[-0.48375232 12.53114738]]),5874.47414678667,13040.551691037092,20450.417319183744,28940.617853830685,38734.97778336541,43367.669316246,42032.42703037469,41767.79084576644,54332.045334907096,162128.82018354925,211516.75343721782,235995.25564593272,1312350.5058270725
prophet,AutoDifferences(max_diffs=20) | LocalMinMaxScaler(stats_=[[-31.78669116  72.81317199]]),42048.57262952207,138807.62113431716,158650.85253823284,162568.5611632648,162495.90712854094,154587.68236739154,128137.56877466051,107904.38642730874,206853.6731847084,867848.4908049027,1009031.2214369143,1076326.2555244123,5924062.136513054
prophet,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalStandardScaler(stats_=[[30.48939862 11.50535468]])",14490.036153693574,22175.449641750023,23377.3991158667,22760.88638143994,23825.640061766477,24142.68750152232,21136.60334934452,20274.037686009087,18795.7328914162,50226.05686870027,52786.072318061066,50438.249956980675,142274.5628747533
prophet,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]])",477.573059538535,1157.9469529962616,1514.5902024375334,1612.89990405451,1733.9550725836598,1842.673701714477,1682.101801677666,1626.2368389398225,1548.4317896757648,4315.13125443075,4696.896707608244,4481.79196863437,13273.636140295468
prophet,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.97626258e-322]], upper=2.0)",86.59595067779759,16814719204211.074,13954295786642.785,7.410787933609523e+16,1.557191933004875e+21,3.286057445318264e+27,1.309289635368745e+41,1.4552691732591598e+226,1.2127243110492998e+226,9.09543233286975e+225,7.276345866295799e+225,inf,inf
prophet,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalStandardScaler(stats_=[[30.48939862 11.50535468]])",14490.036153693574,22175.449641750023,23377.3991158667,22760.88638143994,23825.640061766477,24142.68750152232,21136.60334934452,20274.037686009087,18795.7328914162,50226.05686870027,52786.072318061066,50438.249956980675,142274.5628747533
prophet,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]])",477.573059538535,1157.9469529962616,1514.5902024375334,1612.89990405451,1733.9550725836598,1842.673701714477,1682.101801677666,1626.2368389398225,1548.4317896757648,4315.13125443075,4696.896707608244,4481.79196863437,13273.636140295468
prophet,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",86.59595067779759,16814719204211.074,13954295786642.785,7.410787933609523e+16,1.557191933004875e+21,3.286057445318264e+27,1.309289635368745e+41,1.4552691732591598e+226,1.2127243110492998e+226,9.09543233286975e+225,7.276345866295799e+225,inf,inf
prophet_add_season30_5,,223.55247453517165,215.02147111827418,256.7697074291064,318.1255638141133,374.15178581520803,412.4070170423164,386.20901006637536,350.35123598265375,602.0323676950221,1491.1851715738553,1468.0609310955506,1508.5649682526723,4349.433327561061
prophet_add_season30_5,AutoDifferences(max_diffs=20),11113.699035632768,9592.77925372823,10698.379824209778,16759.338166905756,26026.78647297659,31668.84920964037,33208.74837791769,34958.565506520215,84992.06931804103,256454.00333822466,316484.7172239425,370639.7284163941,2068781.7275493278
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13)",223.55247453517165,215.02147111827418,256.7697074291064,318.1255638141133,374.15178581520803,412.4070170423164,386.20901006637536,350.35123598265375,602.0323676950221,1491.1851715738553,1468.0609310955506,1508.5649682526723,4349.433327561061
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10)",223.55247453517165,215.02147111827418,256.7697074291064,318.1255638141133,374.15178581520803,412.4070170423164,386.20901006637536,350.35123598265375,602.0323676950221,1491.1851715738553,1468.0609310955506,1508.5649682526723,4349.433327561061
prophet_add_season30_5,LocalStandardScaler(stats_=[[30.48939862 11.50535468]]),960.6579160560921,1480.8334610110974,1725.8366706158504,1916.6950974508768,1970.9614920156862,1893.0792768491149,1614.7975126184183,1533.1877460207388,2165.014975845743,4518.646519388996,4478.0292117125655,4774.507465297261,12840.909069369076
prophet_add_season30_5,LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]]),1026.604980420583,1909.1268622099915,2578.8125116347765,3189.7593680624996,3774.427859592462,3690.682156361971,3127.4504870945366,2917.7055757247354,3970.9533955942147,7871.873228945724,8165.602436694647,8701.306447545101,23065.083424123965
prophet_add_season30_5,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.97626258e-322]], upper=2.0)",1.0817899065301887e+213,5.4089495326509434e+212,3.605966355100629e+212,2.7044747663254717e+212,2.1635798130603774e+212,1.8029831775503145e+212,1.3522373831627358e+212,inf,inf,inf,inf,inf,inf
prophet_add_season30_5,AutoDifferences(max_diffs=20) | LocalStandardScaler(stats_=[[-0.48375232 12.53114738]]),11858.18857170465,10181.827978547592,11399.313726480688,17969.636445043798,27984.76131628137,34111.18231466599,35810.498564744725,37715.687698745845,90242.25969382086,269101.6233052236,333015.67671599577,390566.6002969632,2178797.465337089
prophet_add_season30_5,AutoDifferences(max_diffs=20) | LocalMinMaxScaler(stats_=[[-31.78669116  72.81317199]]),179815.27672927274,197715.33061843744,169361.38675137205,152861.68926713662,173209.736215704,193697.71854954466,198512.37715094388,204213.25938499984,828287.8735571459,1818542.7526218921,2102812.9732034625,2678278.6105920705,13957630.054727761
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalStandardScaler(stats_=[[30.48939862 11.50535468]])",960.6579160560921,1480.8334610110974,1725.8366706158504,1916.6950974508768,1970.9614920156862,1893.0792768491149,1614.7975126184183,1533.1877460207388,2165.014975845743,4518.646519388996,4478.0292117125655,4774.507465297261,12840.909069369076
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]])",1026.604980420583,1909.1268622099915,2578.8125116347765,3189.7593680624996,3774.427859592462,3690.682156361971,3127.4504870945366,2917.7055757247354,3970.9533955942147,7871.873228945724,8165.602436694647,8701.306447545101,23065.083424123965
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.97626258e-322]], upper=2.0)",1.0817899065301887e+213,5.4089495326509434e+212,3.605966355100629e+212,2.7044747663254717e+212,2.1635798130603774e+212,1.8029831775503145e+212,1.3522373831627358e+212,inf,inf,inf,inf,inf,inf
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalStandardScaler(stats_=[[30.48939862 11.50535468]])",960.6579160560921,1480.8334610110974,1725.8366706158504,1916.6950974508768,1970.9614920156862,1893.0792768491149,1614.7975126184183,1533.1877460207388,2165.014975845743,4518.646519388996,4478.0292117125655,4774.507465297261,12840.909069369076
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]])",1026.604980420583,1909.1268622099915,2578.8125116347765,3189.7593680624996,3774.427859592462,3690.682156361971,3127.4504870945366,2917.7055757247354,3970.9533955942147,7871.873228945724,8165.602436694647,8701.306447545101,23065.083424123965
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",1.0817899065301887e+213,5.4089495326509434e+212,3.605966355100629e+212,2.7044747663254717e+212,2.1635798130603774e+212,1.8029831775503145e+212,1.3522373831627358e+212,inf,inf,inf,inf,inf,inf
prophet_holy,,454.4768641001533,1458.5983906124334,2061.169319833544,2252.6509752192123,2446.201035607133,2645.0412874283456,2445.142034390241,2448.570679611338,2412.227706427388,5952.246114973729,6657.609535650312,6587.8587706826775,19023.791093496482
prophet_holy,AutoDifferences(max_diffs=20),4274.924047859578,9180.813192791335,13958.96183545731,19405.104635073538,25696.24331702673,28621.229887885987,27597.53718232798,27282.157041819137,37321.999813153314,116711.00668559133,150177.51094126594,167145.8313764777,931780.1098694158
prophet_holy,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13)",454.4768641001533,1458.5983906124334,2061.169319833544,2252.6509752192123,2446.201035607133,2645.0412874283456,2445.142034390241,2448.570679611338,2412.227706427388,5952.246114973729,6657.609535650312,6587.8587706826775,19023.791093496482
prophet_holy,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10)",454.4768641001533,1458.5983906124334,2061.169319833544,2252.6509752192123,2446.201035607133,2645.0412874283456,2445.142034390241,2448.570679611338,2412.227706427388,5952.246114973729,6657.609535650312,6587.8587706826775,19023.791093496482
prophet_holy,LocalStandardScaler(stats_=[[30.48939862 11.50535468]]),14490.036151778892,22175.449638734564,23377.399112652958,22760.886378291663,23825.640058452176,24142.687498150044,21136.60334638374,20274.037683158407,18795.73288876772,50226.05686152002,52786.072310501615,50438.24994975105,142274.56285423486
prophet_holy,LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]]),477.6712623577607,1158.1766737236787,1514.8959404400732,1613.2238110345793,1734.2959997289147,1843.0397815107465,1682.43541598146,1626.567918983834,1548.7276208969677,4315.899483475673,4697.76430710552,4482.632618501715,13276.062630474857
prophet_holy,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.97626258e-322]], upper=2.0)",86.6538270496258,14479884836156.852,12059906796720.494,6.030711774665049e+16,1.1873583074399853e+21,2.3081994642808716e+27,8.136285041540422e+40,1.5759866060896966e+225,1.3133221717414137e+225,9.849916288060604e+224,7.879933030448483e+224,inf,inf
prophet_holy,AutoDifferences(max_diffs=20) | LocalStandardScaler(stats_=[[-0.48375232 12.53114738]]),5874.481922987476,13040.569708350966,20450.451324337933,28940.674955581828,38735.06037478228,43367.763365599225,42032.52080107165,41767.88462028748,54332.15279227602,162129.03094480673,211517.04883245975,235995.59471522106,1312352.2290900256
prophet_holy,AutoDifferences(max_diffs=20) | LocalMinMaxScaler(stats_=[[-31.78669116  72.81317199]]),42048.57263089919,138807.62113894545,158650.8525436273,162568.56116888113,162495.90713423974,154587.68237288637,128137.56877928393,107904.38643124455,206853.67319326403,867848.490843738,1009031.2214823995,1076326.2555732196,5924062.136789358
prophet_holy,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalStandardScaler(stats_=[[30.48939862 11.50535468]])",14490.036151778892,22175.449638734564,23377.399112652958,22760.886378291663,23825.640058452176,24142.687498150044,21136.60334638374,20274.037683158407,18795.73288876772,50226.05686152002,52786.072310501615,50438.24994975105,142274.56285423486
prophet_holy,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]])",477.6712623577607,1158.1766737236787,1514.8959404400732,1613.2238110345793,1734.2959997289147,1843.0397815107465,1682.43541598146,1626.567918983834,1548.7276208969677,4315.899483475673,4697.76430710552,4482.632618501715,13276.062630474857
prophet_holy,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.97626258e-322]], upper=2.0)",86.6538270496258,14479884836156.852,12059906796720.494,6.030711774665049e+16,1.1873583074399853e+21,2.3081994642808716e+27,8.136285041540422e+40,1.5759866060896966e+225,1.3133221717414137e+225,9.849916288060604e+224,7.879933030448483e+224,inf,inf
prophet_holy,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalStandardScaler(stats_=[[30.48939862 11.50535468]])",14490.036151778892,22175.449638734564,23377.399112652958,22760.886378291663,23825.640058452176,24142.687498150044,21136.60334638374,20274.037683158407,18795.73288876772,50226.05686152002,52786.072310501615,50438.24994975105,142274.56285423486
prophet_holy,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]])",477.6712623577607,1158.1766737236787,1514.8959404400732,1613.2238110345793,1734.2959997289147,1843.0397815107465,1682.43541598146,1626.567918983834,1548.7276208969677,4315.899483475673,4697.76430710552,4482.632618501715,13276.062630474857
prophet_holy,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",86.6538270496258,14479884836156.852,12059906796720.494,6.030711774665049e+16,1.1873583074399853e+21,2.3081994642808716e+27,8.136285041540422e+40,1.5759866060896966e+225,1.3133221717414137e+225,9.849916288060604e+224,7.879933030448483e+224,inf,inf
prophet_add_season30_5_holy,,225.3340130693344,217.61204142437109,257.0256965869677,316.07542736713555,374.99014647810776,412.5172476316585,386.2641833373771,350.55302607086804,599.4604922699217,1514.6977322432183,1490.0421671399731,1525.877794618159,4403.848030177476
prophet_add_season30_5_holy,AutoDifferences(max_diffs=20),11115.431408382636,9594.035080836024,10700.223299759857,16762.649705932243,26032.120507012547,31675.437166039217,33215.70727115309,34965.88877381894,85007.45020149434,256495.3201137019,316536.95596569835,370701.6855278737,2069123.027684943
prophet_add_season30_5_holy,"AutoSeasonalDifferences(max_diffs=20, n_seasons=10, season_length=13)",225.3340130693344,217.61204142437109,257.0256965869677,316.07542736713555,374.99014647810776,412.5172476316585,386.2641833373771,350.55302607086804,599.4604922699217,1514.6977322432183,1490.0421671399731,1525.877794618159,4403.848030177476
prophet_add_season30_5_holy,"AutoSeasonalityAndDifferences(max_diffs=20, max_season_length=13, n_seasons=10)",225.3340130693344,217.61204142437109,257.0256965869677,316.07542736713555,374.99014647810776,412.5172476316585,386.2641833373771,350.55302607086804,599.4604922699217,1514.6977322432183,1490.0421671399731,1525.877794618159,4403.848030177476
prophet_add_season30_5_holy,LocalStandardScaler(stats_=[[30.48939862 11.50535468]]),980.173384352549,1503.197983515772,1748.6788476975184,1939.126527332287,1992.0607948372285,1911.173201433548,1628.8464537694508,1547.0264298174377,2182.7683958712237,4569.88987407199,4523.283903416654,4820.538971805025,12971.838637835941
prophet_add_season30_5_holy,LocalMinMaxScaler(stats_=[[13.68055556 60.00794619]]),1026.6051137103043,1909.1269245137064,2578.812833624841,3189.759463465313,3774.4281052363694,3690.6823478801202,3127.4506516144234,2917.705713475057,3970.9535800884146,7871.873568206547,8165.602855926348,8701.306785777448,23065.08470142825
prophet_add_season30_5_holy,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.97626258e-322]], upper=2.0)",1.0809328738313457e+213,5.404664369156728e+212,3.6031095794378184e+212,2.702332184578364e+212,2.1618657476626915e+212,1.8015547897189092e+212,1.351166092289182e+212,inf,inf,inf,inf,inf,inf
