Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1210_days
prophet,,368.70220978192225,491.2063597944862,558.9031419994782,677.8407180631029,663.3039688593351,647.3669595893615,600.8979311681308,692.8130560108411,801.0170113771018,2366.820564329889,2280.944036836983,2282.645717032393,6957.687524803166
prophet,AutoDifferences(max_diffs=43),1266.866449967588,1499.179408974695,3084.1254224518984,4854.4971244453645,5635.134507185049,5946.775250164319,6201.450354357075,11201.05910021893,24451.523156614614,42320.40598930915,44717.42344594609,71823.09492370242,305996.6673195224
prophet,"AutoSeasonalDifferences(max_diffs=43, n_seasons=10, season_length=28)",368.70220978192225,491.2063597944862,558.9031419994782,677.8407180631029,663.3039688593351,647.3669595893615,600.8979311681308,692.8130560108411,801.0170113771018,2366.820564329889,2280.944036836983,2282.645717032393,6957.687524803166
prophet,"AutoSeasonalityAndDifferences(max_diffs=43, max_season_length=28, n_seasons=10)",368.70220978192225,491.2063597944862,558.9031419994782,677.8407180631029,663.3039688593351,647.3669595893615,600.8979311681308,692.8130560108411,801.0170113771018,2366.820564329889,2280.944036836983,2282.645717032393,6957.687524803166
prophet,LocalStandardScaler(stats_=[[23.22598564 11.0431435 ]]),1003.345801427942,886.5450191012371,928.4962041332857,969.5100956002451,890.6497018443575,830.581653224071,730.579154881481,763.204357472829,806.4292181600097,2009.0351993723964,1944.3968424619604,1933.5019580517283,5734.2945612722115
prophet,LocalMinMaxScaler(stats_=[[ 5.1691023  68.51939945]]),343.39101504632833,486.2967744535113,553.1271759118393,647.7433016760233,617.2746189574178,593.3285346577295,543.5657561212042,631.2747069190556,687.4921854844201,2164.9196699893714,2071.651210238192,2047.0170314633083,6425.958819237687
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[6.38441505e-003 4.24896455e-322]], upper=2.0)",89.10146208053098,18451947.567790214,12326377.520419382,9259261.861389434,7419460.882598786,6275987.351554213,1120979129.2561977,2.143091051986794e+18,1.7859092099889956e+18,1.339431908860855e+18,1.0715455337713859e+18,4.180209192872699e+23,3.4569847994431387e+28
prophet,AutoDifferences(max_diffs=43) | LocalStandardScaler(stats_=[[-0.28986912  9.60664789]]),1035.2478012505212,982.7871941097505,1752.688073391634,2684.377036813545,3116.437277594154,3295.0379503812896,3455.9685418363806,6625.304411089901,14908.073238629455,25169.565655705374,26444.92078294854,43084.39285431568,182534.2904157358
prophet,AutoDifferences(max_diffs=43) | LocalMinMaxScaler(stats_=[[-31.78669116  72.81317199]]),3904.764566623772,8267.359189774756,13795.44684806725,18045.156935871415,19031.726196779957,18913.82955487357,18194.94659361187,23087.563646248833,48817.85689180928,163075.76910022795,171106.04778538315,234847.7036845974,1170167.1669583162
prophet,"AutoSeasonalDifferences(max_diffs=43, n_seasons=10, season_length=28) | LocalStandardScaler(stats_=[[23.22598564 11.0431435 ]])",1003.345801427942,886.5450191012371,928.4962041332857,969.5100956002451,890.6497018443575,830.581653224071,730.579154881481,763.204357472829,806.4292181600097,2009.0351993723964,1944.3968424619604,1933.5019580517283,5734.2945612722115
prophet,"AutoSeasonalDifferences(max_diffs=43, n_seasons=10, season_length=28) | LocalMinMaxScaler(stats_=[[ 5.1691023  68.51939945]])",343.39101504632833,486.2967744535113,553.1271759118393,647.7433016760233,617.2746189574178,593.3285346577295,543.5657561212042,631.2747069190556,687.4921854844201,2164.9196699893714,2071.651210238192,2047.0170314633083,6425.958819237687
