Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1271_days
prophet,,25807.74166662257,36229.385466732594,44628.23434951206,46125.49224236138,50100.90786267068,51210.84783226447,46398.04214855447,42339.216130397246,44374.88057913136,136280.91905502582,137949.44749444563,133019.94979500398,396646.31162253517
prophet,AutoDifferences(max_diffs=12),25807.74166662257,36229.385466732594,44628.23434951206,46125.49224236138,50100.90786267068,51210.84783226447,46398.04214855447,42339.216130397246,44374.88057913136,136280.91905502582,137949.44749444563,133019.94979500398,396646.31162253517
prophet,"AutoSeasonalDifferences(max_diffs=12, n_seasons=10, season_length=8)",25807.74166662257,36229.385466732594,44628.23434951206,46125.49224236138,50100.90786267068,51210.84783226447,46398.04214855447,42339.216130397246,44374.88057913136,136280.91905502582,137949.44749444563,133019.94979500398,396646.31162253517
prophet,"AutoSeasonalityAndDifferences(max_diffs=12, max_season_length=8, n_seasons=10)",25807.74166662257,36229.385466732594,44628.23434951206,46125.49224236138,50100.90786267068,51210.84783226447,46398.04214855447,42339.216130397246,44374.88057913136,136280.91905502582,137949.44749444563,133019.94979500398,396646.31162253517
prophet,LocalStandardScaler(stats_=[[33.97812388 12.48501374]]),4317.144532333447,5452.838888099539,6550.268131897143,7092.762436007799,7186.414632578443,7251.911762616285,6794.514563895094,6198.676346687086,6136.002544400586,17928.537038320934,18424.733071073937,17328.508828031703,50934.09573128686
prophet,LocalMinMaxScaler(stats_=[[15.22013889 58.46836285]]),3505.3156004063653,7990.468178978889,10952.944575342563,12872.815557364638,13830.663210301766,13836.017645403732,13064.028735382402,12254.914054402438,13199.033910841303,32449.3300580212,34067.296501465855,33968.444203955805,94120.78848112635
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[5.71363425e-001 1.23516411e-322]], upper=2.0)",618243.2927838978,923766.4214559394,1224842.545319613,1297959.8653363616,1504553.0611242421,1609013.996458184,1580386.1398162667,1684798.6865427953,2556910.3692456232,18231933.785542555,17334310.138840377,18141517.712765925,101483692.2737993
prophet,AutoDifferences(max_diffs=12) | LocalStandardScaler(stats_=[[33.97812388 12.48501374]]),4317.144532333447,5452.838888099539,6550.268131897143,7092.762436007799,7186.414632578443,7251.911762616285,6794.514563895094,6198.676346687086,6136.002544400586,17928.537038320934,18424.733071073937,17328.508828031703,50934.09573128686
prophet,AutoDifferences(max_diffs=12) | LocalMinMaxScaler(stats_=[[15.22013889 58.46836285]]),3505.3156004063653,7990.468178978889,10952.944575342563,12872.815557364638,13830.663210301766,13836.017645403732,13064.028735382402,12254.914054402438,13199.033910841303,32449.3300580212,34067.296501465855,33968.444203955805,94120.78848112635
prophet,"AutoDifferences(max_diffs=12) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[5.71363425e-001 1.23516411e-322]], upper=2.0)",618243.2927838978,923766.4214559394,1224842.545319613,1297959.8653363616,1504553.0611242421,1609013.996458184,1580386.1398162667,1684798.6865427953,2556910.3692456232,18231933.785542555,17334310.138840377,18141517.712765925,101483692.2737993
prophet,"AutoSeasonalDifferences(max_diffs=12, n_seasons=10, season_length=8) | LocalStandardScaler(stats_=[[33.97812388 12.48501374]])",4317.144532333447,5452.838888099539,6550.268131897143,7092.762436007799,7186.414632578443,7251.911762616285,6794.514563895094,6198.676346687086,6136.002544400586,17928.537038320934,18424.733071073937,17328.508828031703,50934.09573128686
prophet,"AutoSeasonalDifferences(max_diffs=12, n_seasons=10, season_length=8) | LocalMinMaxScaler(stats_=[[15.22013889 58.46836285]])",3505.3156004063653,7990.468178978889,10952.944575342563,12872.815557364638,13830.663210301766,13836.017645403732,13064.028735382402,12254.914054402438,13199.033910841303,32449.3300580212,34067.296501465855,33968.444203955805,94120.78848112635
prophet,"AutoSeasonalDifferences(max_diffs=12, n_seasons=10, season_length=8) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[5.71363425e-001 1.23516411e-322]], upper=2.0)",618243.2927838978,923766.4214559394,1224842.545319613,1297959.8653363616,1504553.0611242421,1609013.996458184,1580386.1398162667,1684798.6865427953,2556910.3692456232,18231933.785542555,17334310.138840377,18141517.712765925,101483692.2737993
prophet,"AutoSeasonalityAndDifferences(max_diffs=12, max_season_length=8, n_seasons=10) | LocalStandardScaler(stats_=[[33.97812388 12.48501374]])",4317.144532333447,5452.838888099539,6550.268131897143,7092.762436007799,7186.414632578443,7251.911762616285,6794.514563895094,6198.676346687086,6136.002544400586,17928.537038320934,18424.733071073937,17328.508828031703,50934.09573128686
