Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_970_days
prophet,,92.4801504145529,220.8350346095353,263.3104116594697,351.903130722505,382.24665988386784,373.76768107220437,347.1145544154955,310.74041476320315,290.9474730440535,394.416071802985,463.2096783495565,451.14589012734916,658.4320934381919
prophet,AutoDifferences(max_diffs=163),91.02532024309546,171.72375528629266,272.641544655539,382.7419257227724,452.54046684013866,454.05514889909034,414.07034344243687,341.5927109838094,303.0607433765698,380.6510701380437,674.4318677158979,716.0135024547765,2012.3754150534876
prophet,"AutoSeasonalDifferences(max_diffs=163, n_seasons=10, season_length=108)",92.4801504145529,220.8350346095353,263.3104116594697,351.903130722505,382.24665988386784,373.76768107220437,347.1145544154955,310.74041476320315,290.9474730440535,394.416071802985,463.2096783495565,451.14589012734916,658.4320934381919
prophet,"AutoSeasonalityAndDifferences(max_diffs=163, max_season_length=108, n_seasons=10)",92.4801504145529,220.8350346095353,263.3104116594697,351.903130722505,382.24665988386784,373.76768107220437,347.1145544154955,310.74041476320315,290.9474730440535,394.416071802985,463.2096783495565,451.14589012734916,658.4320934381919
prophet,LocalStandardScaler(stats_=[[45.25848001 39.15025312]]),111.98119754189206,122.15521514266503,193.88312752102246,292.7642683876263,408.59208394552076,473.7367973577608,751.3050983190232,644.3114105432207,608.2172830521814,609.1044905374071,1013.8279083454661,977.7976682487287,1411.436897488726
prophet,LocalMinMaxScaler(stats_=[[  6.43602225 208.81675552]]),88.67600751275494,208.45960007440678,237.6403470700178,321.63944910477994,344.3743197418654,334.86803289012914,308.4569499484397,277.85800964154754,263.7164344712054,359.80583039393366,412.16881371282517,406.60961594779826,586.2562389807076
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.61065401e-321]], upper=2.0)",93.45246930036103,190.65209018637316,212.99956826842043,298.7275606877131,342.10128333615324,350.1504272372966,349.4142119647881,340.7899757365926,362.3816129361323,595.5030603574343,802.8033682774909,1008.8684335744629,2248.260865630262
prophet,AutoDifferences(max_diffs=163) | LocalStandardScaler(stats_=[[ 0.20544026 23.88517127]]),91.5777470802258,173.4372964832393,276.5146486572131,389.9242854567655,463.1626036922124,466.71125996784315,430.36791052638847,354.71930756480015,312.34794086358914,374.6957515539462,647.6509620960022,687.3427673236328,1944.1641329579863
prophet,AutoDifferences(max_diffs=163) | LocalMinMaxScaler(stats_=[[-133.53958333  234.99839732]]),248.89204399470404,469.14625298392394,826.2990219761232,1357.3926062642506,1853.9918628777793,2102.3035348733283,2495.5254153848514,2351.1717597078223,2156.432638634693,3333.9112127072854,5742.885633243624,5690.37633211547,11592.389425124342
prophet,"AutoSeasonalDifferences(max_diffs=163, n_seasons=10, season_length=108) | LocalStandardScaler(stats_=[[45.25848001 39.15025312]])",111.98119754189206,122.15521514266503,193.88312752102246,292.7642683876263,408.59208394552076,473.7367973577608,751.3050983190232,644.3114105432207,608.2172830521814,609.1044905374071,1013.8279083454661,977.7976682487287,1411.436897488726
prophet,"AutoSeasonalDifferences(max_diffs=163, n_seasons=10, season_length=108) | LocalMinMaxScaler(stats_=[[  6.43602225 208.81675552]])",88.67600751275494,208.45960007440678,237.6403470700178,321.63944910477994,344.3743197418654,334.86803289012914,308.4569499484397,277.85800964154754,263.7164344712054,359.80583039393366,412.16881371282517,406.60961594779826,586.2562389807076
