Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1032_days
prophet,,45.665204547535524,48.837279865847556,45.96547276160666,63.708070960774265,84.45507845803488,125.84859350123925,156.81432827030827,161.4894569818261,154.1655839692182,134.62721267904115,206.84669404448871,224.68826764738256,313.10699684157754
prophet,AutoDifferences(max_diffs=132),59.68200783416253,58.84859876265709,53.850184253950104,50.58708498733516,66.22144860487758,96.32746037704526,134.93357472272717,148.6805074481444,132.9777220583941,112.4698156895548,215.37716909039983,260.7046725941293,516.2418938652827
prophet,"AutoSeasonalDifferences(max_diffs=132, n_seasons=10, season_length=88)",45.665204547535524,48.837279865847556,45.96547276160666,63.708070960774265,84.45507845803488,125.84859350123925,156.81432827030827,161.4894569818261,154.1655839692182,134.62721267904115,206.84669404448871,224.68826764738256,313.10699684157754
prophet,"AutoSeasonalityAndDifferences(max_diffs=132, max_season_length=88, n_seasons=10)",45.665204547535524,48.837279865847556,45.96547276160666,63.708070960774265,84.45507845803488,125.84859350123925,156.81432827030827,161.4894569818261,154.1655839692182,134.62721267904115,206.84669404448871,224.68826764738256,313.10699684157754
prophet,LocalStandardScaler(stats_=[[30.453294  17.4358458]]),44.76246127653034,50.40894494970487,48.524845057285184,46.12178534744526,69.6470554344305,104.33904455128162,190.3638581656679,309.26583286542467,322.09059171516174,262.3706817032987,338.9308150777636,512.6328997782803,695.9550847554293
prophet,LocalMinMaxScaler(stats_=[[  6.43602225 127.07856108]]),46.894107872147565,49.76813585547911,46.51085019948204,65.44773808620067,83.35029263309362,124.99397973064883,151.94447018123583,154.58820615605612,148.83757831674214,131.06283092617656,199.23160452554805,215.3746937497761,297.74169456119364
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.30433331e-321]], upper=2.0)",56.228552845718994,58.87350174066059,53.919785659632794,50.51854510705878,50.36922253989437,67.35381993018702,82.65907502129657,84.59731481180577,81.74341589846577,71.9521634471543,98.6988590225544,109.04121516691343,144.22521311527262
prophet,AutoDifferences(max_diffs=132) | LocalStandardScaler(stats_=[[ 0.01832636 12.10833347]]),60.579559365222245,60.876131419360966,56.509989716573074,49.61598565783332,54.2014503466001,68.63849904363616,80.90217679089872,77.42605790012372,71.7104487785222,68.36158636556173,77.97507371041597,78.24594020913466,127.12737723538226
prophet,AutoDifferences(max_diffs=132) | LocalMinMaxScaler(stats_=[[-71.63566893 124.52047995]]),219.82443987943805,256.0281241567394,315.24239224175136,523.7678752604913,982.2556645781557,1672.6964072533287,2846.326379432843,3626.614567269299,3581.7720733028764,3598.0989035911853,7809.743052150866,9971.997394000717,20373.08172302813
prophet,"AutoSeasonalDifferences(max_diffs=132, n_seasons=10, season_length=88) | LocalStandardScaler(stats_=[[30.453294  17.4358458]])",44.76246127653034,50.40894494970487,48.524845057285184,46.12178534744526,69.6470554344305,104.33904455128162,190.3638581656679,309.26583286542467,322.09059171516174,262.3706817032987,338.9308150777636,512.6328997782803,695.9550847554293
prophet,"AutoSeasonalDifferences(max_diffs=132, n_seasons=10, season_length=88) | LocalMinMaxScaler(stats_=[[  6.43602225 127.07856108]])",46.894107872147565,49.76813585547911,46.51085019948204,65.44773808620067,83.35029263309362,124.99397973064883,151.94447018123583,154.58820615605612,148.83757831674214,131.06283092617656,199.23160452554805,215.3746937497761,297.74169456119364
prophet,"AutoSeasonalDifferences(max_diffs=132, n_seasons=10, season_length=88) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.30433331e-321]], upper=2.0)",56.228552845718994,58.87350174066059,53.919785659632794,50.51854510705878,50.36922253989437,67.35381993018702,82.65907502129657,84.59731481180577,81.74341589846577,71.9521634471543,98.6988590225544,109.04121516691343,144.22521311527262
prophet,"AutoSeasonalityAndDifferences(max_diffs=132, max_season_length=88, n_seasons=10) | LocalStandardScaler(stats_=[[30.453294  17.4358458]])",44.76246127653034,50.40894494970487,48.524845057285184,46.12178534744526,69.6470554344305,104.33904455128162,190.3638581656679,309.26583286542467,322.09059171516174,262.3706817032987,338.9308150777636,512.6328997782803,695.9550847554293
prophet,"AutoSeasonalityAndDifferences(max_diffs=132, max_season_length=88, n_seasons=10) | LocalMinMaxScaler(stats_=[[  6.43602225 127.07856108]])",46.894107872147565,49.76813585547911,46.51085019948204,65.44773808620067,83.35029263309362,124.99397973064883,151.94447018123583,154.58820615605612,148.83757831674214,131.06283092617656,199.23160452554805,215.3746937497761,297.74169456119364
prophet,"AutoSeasonalityAndDifferences(max_diffs=132, max_season_length=88, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",56.228552845718994,58.87350174066059,53.919785659632794,50.51854510705878,50.36922253989437,67.35381993018702,82.65907502129657,84.59731481180577,81.74341589846577,71.9521634471543,98.6988590225544,109.04121516691343,144.22521311527262
prophet_add_season30_5,,58.09895491014817,68.55110246834617,69.25622593817268,284.82750952003033,390.45930460655705,492.910464179459,521.1774833556217,486.9124344250469,441.66380566037054,461.893210498269,710.1841387941937,697.5509039995163,1044.7527989409136
