Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1071_days
prophet,,42.98128490177416,42.00229948724835,45.10546679940758,43.31435771676408,56.39617965176414,71.04103444977281,134.6936851085509,148.28782514526765,155.13666432456642,133.35979105263627,192.8988786928904,229.06614455821367,324.11192778680646
prophet,AutoDifferences(max_diffs=112),50.29199628411038,57.13188134829632,62.59943727275581,103.42606828516428,261.8180753144883,497.8765272678138,1530.5674181411246,2255.9607799311184,2752.3238599255387,2651.226126127828,5147.877255885281,8024.113473843378,16815.978448026242
prophet,"AutoSeasonalDifferences(max_diffs=112, n_seasons=10, season_length=75)",42.98128490177416,42.00229948724835,45.10546679940758,43.31435771676408,56.39617965176414,71.04103444977281,134.6936851085509,148.28782514526765,155.13666432456642,133.35979105263627,192.8988786928904,229.06614455821367,324.11192778680646
prophet,"AutoSeasonalityAndDifferences(max_diffs=112, max_season_length=75, n_seasons=10)",42.98128490177416,42.00229948724835,45.10546679940758,43.31435771676408,56.39617965176414,71.04103444977281,134.6936851085509,148.28782514526765,155.13666432456642,133.35979105263627,192.8988786928904,229.06614455821367,324.11192778680646
prophet,LocalStandardScaler(stats_=[[25.69202437 10.40116327]]),41.694232076790996,46.84605601042138,51.5301655880236,51.73252160903559,64.7229029983737,92.78362813721543,173.2921066252861,229.294022566827,256.28757879727596,222.36441678983158,308.9460998885514,421.5718029643452,618.5960132115013
prophet,LocalMinMaxScaler(stats_=[[ 6.43602225 76.69184432]]),40.5499527829429,42.24555176682929,46.58623021332159,45.32189683733242,55.07629787137402,66.73224624485235,121.48789999813962,131.92405287271086,138.52916626860662,118.90526210060786,169.60206394933903,199.7881624201244,278.7331648499518
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.11164770e-321]], upper=2.0)",50.39522627477287,47.061875142737705,49.399659238979595,46.52769508938267,50.23790989091075,54.83398344032994,99.22593992513181,111.26012643445755,120.75339287569395,112.05385056532668,162.6636603552013,206.73388133144476,358.56099791444393
prophet,AutoDifferences(max_diffs=112) | LocalStandardScaler(stats_=[[0.07148655 8.95529002]]),48.13798156680127,53.67823076790251,58.080884352414785,96.28873395199415,247.5158531400377,473.6782135802449,1468.1737784414147,2173.1032339935273,2659.4504381479405,2569.3336270010363,5044.25807133983,7904.902773285703,16726.973405839035
prophet,AutoDifferences(max_diffs=112) | LocalMinMaxScaler(stats_=[[-32.10078324  84.98559426]]),251.97003615647523,468.6606256077263,641.1802944956366,1031.1057936770455,2314.881881338458,4527.18986910512,14306.28590122493,20750.6431474643,24634.385026667664,23292.005906111568,44443.355307959864,68359.3235090862,140761.47612165887
prophet,"AutoSeasonalDifferences(max_diffs=112, n_seasons=10, season_length=75) | LocalStandardScaler(stats_=[[25.69202437 10.40116327]])",41.694232076790996,46.84605601042138,51.5301655880236,51.73252160903559,64.7229029983737,92.78362813721543,173.2921066252861,229.294022566827,256.28757879727596,222.36441678983158,308.9460998885514,421.5718029643452,618.5960132115013
prophet,"AutoSeasonalDifferences(max_diffs=112, n_seasons=10, season_length=75) | LocalMinMaxScaler(stats_=[[ 6.43602225 76.69184432]])",40.5499527829429,42.24555176682929,46.58623021332159,45.32189683733242,55.07629787137402,66.73224624485235,121.48789999813962,131.92405287271086,138.52916626860662,118.90526210060786,169.60206394933903,199.7881624201244,278.7331648499518
prophet,"AutoSeasonalDifferences(max_diffs=112, n_seasons=10, season_length=75) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.11164770e-321]], upper=2.0)",50.39522627477287,47.061875142737705,49.399659238979595,46.52769508938267,50.23790989091075,54.83398344032994,99.22593992513181,111.26012643445755,120.75339287569395,112.05385056532668,162.6636603552013,206.73388133144476,358.56099791444393
prophet,"AutoSeasonalityAndDifferences(max_diffs=112, max_season_length=75, n_seasons=10) | LocalStandardScaler(stats_=[[25.69202437 10.40116327]])",41.694232076790996,46.84605601042138,51.5301655880236,51.73252160903559,64.7229029983737,92.78362813721543,173.2921066252861,229.294022566827,256.28757879727596,222.36441678983158,308.9460998885514,421.5718029643452,618.5960132115013
prophet,"AutoSeasonalityAndDifferences(max_diffs=112, max_season_length=75, n_seasons=10) | LocalMinMaxScaler(stats_=[[ 6.43602225 76.69184432]])",40.5499527829429,42.24555176682929,46.58623021332159,45.32189683733242,55.07629787137402,66.73224624485235,121.48789999813962,131.92405287271086,138.52916626860662,118.90526210060786,169.60206394933903,199.7881624201244,278.7331648499518
prophet,"AutoSeasonalityAndDifferences(max_diffs=112, max_season_length=75, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",50.39522627477287,47.061875142737705,49.399659238979595,46.52769508938267,50.23790989091075,54.83398344032994,99.22593992513181,111.26012643445755,120.75339287569395,112.05385056532668,162.6636603552013,206.73388133144476,358.56099791444393
prophet_add_season30_5,,48.07342268567092,43.61040232154743,45.397561095780034,43.77781278170089,61.24280965702772,76.71223903198332,143.0360186090787,157.31312134678475,163.3349083380622,140.75894279030166,205.64271816322335,243.01158480606065,345.2584576854226
prophet_add_season30_5,AutoDifferences(max_diffs=112),67.10859538463903,84.76240218570632,102.09268357576151,169.32500877573526,409.6915085946841,767.4195267994171,2346.5301595298674,3481.534722276338,4272.749955791065,4146.704415725492,8160.2090751339,12802.225658544776,27121.392663900853
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=112, n_seasons=10, season_length=75)",48.07342268567092,43.61040232154743,45.397561095780034,43.77781278170089,61.24280965702772,76.71223903198332,143.0360186090787,157.31312134678475,163.3349083380622,140.75894279030166,205.64271816322335,243.01158480606065,345.2584576854226
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=112, max_season_length=75, n_seasons=10)",48.07342268567092,43.61040232154743,45.397561095780034,43.77781278170089,61.24280965702772,76.71223903198332,143.0360186090787,157.31312134678475,163.3349083380622,140.75894279030166,205.64271816322335,243.01158480606065,345.2584576854226
prophet_add_season30_5,LocalStandardScaler(stats_=[[25.69202437 10.40116327]]),46.2439515152476,50.35638028709578,54.04288869407505,54.95068760532451,63.15246032034389,82.3200753929753,190.19483024801545,283.8601007701607,285.8130656042104,248.03086536159884,329.54244762833207,468.6908099547984,700.6973400152638
prophet_add_season30_5,LocalMinMaxScaler(stats_=[[ 6.43602225 76.69184432]]),54.793598224469285,46.361779506406045,46.850864920287464,44.79646791116039,71.45605577931846,89.28436319601929,155.88204242933622,166.69040505672012,171.2357285288096,149.44985504140803,222.29619023065334,255.8714544075568,365.54064661248634
prophet_add_season30_5,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.11164770e-321]], upper=2.0)",56.1683474394076,48.97018499280065,51.11918596079196,50.03443485019401,58.865921499174625,59.965633666177766,97.20719613711287,106.21309694155163,112.78342312078549,102.11955611532757,144.67765794614996,179.68714380215994,293.7856049189723
prophet_add_season30_5,AutoDifferences(max_diffs=112) | LocalStandardScaler(stats_=[[0.07148655 8.95529002]]),68.34795216741833,86.81287249397242,104.94050104231825,174.00062681768162,420.31283092207514,787.8266721615454,2410.7831969108033,3580.8586103945686,4399.850536904918,4273.62964328211,8421.58783156712,13224.162195470328,28049.15330736686
prophet_add_season30_5,AutoDifferences(max_diffs=112) | LocalMinMaxScaler(stats_=[[-32.10078324  84.98559426]]),210.15569689685435,426.79444740544216,599.203010921676,980.658135359283,2231.9271875123227,4389.112846540309,13921.83498655221,20203.842912303753,23998.84482727666,22692.7515604771,43343.83652773294,66696.81187646124,137421.63120486424
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=112, n_seasons=10, season_length=75) | LocalStandardScaler(stats_=[[25.69202437 10.40116327]])",46.2439515152476,50.35638028709578,54.04288869407505,54.95068760532451,63.15246032034389,82.3200753929753,190.19483024801545,283.8601007701607,285.8130656042104,248.03086536159884,329.54244762833207,468.6908099547984,700.6973400152638
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=112, n_seasons=10, season_length=75) | LocalMinMaxScaler(stats_=[[ 6.43602225 76.69184432]])",54.793598224469285,46.361779506406045,46.850864920287464,44.79646791116039,71.45605577931846,89.28436319601929,155.88204242933622,166.69040505672012,171.2357285288096,149.44985504140803,222.29619023065334,255.8714544075568,365.54064661248634
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=112, n_seasons=10, season_length=75) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.11164770e-321]], upper=2.0)",56.1683474394076,48.97018499280065,51.11918596079196,50.03443485019401,58.865921499174625,59.965633666177766,97.20719613711287,106.21309694155163,112.78342312078549,102.11955611532757,144.67765794614996,179.68714380215994,293.7856049189723
