Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1271_days
prophet,,35046.13458073435,37435.94407463921,45561.274996713015,47404.73632867595,53569.389435355864,54157.74269926684,52863.29828785998,52149.84846549246,59496.385145947,223079.91877034068,230082.688068655,225549.21647918408,668850.4958546914
prophet,AutoDifferences(max_diffs=12),35046.13458073435,37435.94407463921,45561.274996713015,47404.73632867595,53569.389435355864,54157.74269926684,52863.29828785998,52149.84846549246,59496.385145947,223079.91877034068,230082.688068655,225549.21647918408,668850.4958546914
prophet,"AutoSeasonalDifferences(max_diffs=12, n_seasons=10, season_length=8)",35046.13458073435,37435.94407463921,45561.274996713015,47404.73632867595,53569.389435355864,54157.74269926684,52863.29828785998,52149.84846549246,59496.385145947,223079.91877034068,230082.688068655,225549.21647918408,668850.4958546914
prophet,"AutoSeasonalityAndDifferences(max_diffs=12, max_season_length=8, n_seasons=10)",35046.13458073435,37435.94407463921,45561.274996713015,47404.73632867595,53569.389435355864,54157.74269926684,52863.29828785998,52149.84846549246,59496.385145947,223079.91877034068,230082.688068655,225549.21647918408,668850.4958546914
prophet,LocalStandardScaler(stats_=[[29.68019057 10.89189902]]),2336.6267422694045,3486.1096917461973,3884.233322850164,4338.7338931845825,4649.843188020117,4513.537883192683,4436.539962233101,4461.723915479363,4731.241104104928,15448.037904370854,16139.67098015828,15711.735038491122,45141.785315101806
prophet,LocalMinMaxScaler(stats_=[[14.06944444 43.83326577]]),12310.56993359383,16815.777154046544,19876.47305094284,21156.095173645015,23990.945916096036,23843.34391580111,23344.401033084934,23487.773972065934,27212.868497405503,86985.46557368076,90755.3891892297,90902.51735505361,253605.39109550478
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[6.437762e-001 1.235164e-322]], upper=2.0)",499701.3117639409,545410.5386949803,711405.1485644791,750808.0388420738,896575.7419402138,936278.1262333482,988517.8110134975,1136315.2671998893,1705183.5657790639,11402556.618316665,11145635.869062206,11611955.504226763,53844109.93721457
prophet,AutoDifferences(max_diffs=12) | LocalStandardScaler(stats_=[[29.68019057 10.89189902]]),2336.6267422694045,3486.1096917461973,3884.233322850164,4338.7338931845825,4649.843188020117,4513.537883192683,4436.539962233101,4461.723915479363,4731.241104104928,15448.037904370854,16139.67098015828,15711.735038491122,45141.785315101806
prophet,AutoDifferences(max_diffs=12) | LocalMinMaxScaler(stats_=[[14.06944444 43.83326577]]),12310.56993359383,16815.777154046544,19876.47305094284,21156.095173645015,23990.945916096036,23843.34391580111,23344.401033084934,23487.773972065934,27212.868497405503,86985.46557368076,90755.3891892297,90902.51735505361,253605.39109550478
prophet,"AutoDifferences(max_diffs=12) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[6.437762e-001 1.235164e-322]], upper=2.0)",499701.3117639409,545410.5386949803,711405.1485644791,750808.0388420738,896575.7419402138,936278.1262333482,988517.8110134975,1136315.2671998893,1705183.5657790639,11402556.618316665,11145635.869062206,11611955.504226763,53844109.93721457
prophet,"AutoSeasonalDifferences(max_diffs=12, n_seasons=10, season_length=8) | LocalStandardScaler(stats_=[[29.68019057 10.89189902]])",2336.6267422694045,3486.1096917461973,3884.233322850164,4338.7338931845825,4649.843188020117,4513.537883192683,4436.539962233101,4461.723915479363,4731.241104104928,15448.037904370854,16139.67098015828,15711.735038491122,45141.785315101806
