,sensor,train_label,transformation,model_name,MAPE,Errors,file_path
2_26M_train_original_MSTL_ac_MFLES2_8e5ff900,2,26M_train,original,MSTL_ac_MFLES2,38.07327609339967,"{'test_30_days': 18.13314284771648, 'test_60_days': 22.515195528099312, 'test_90_days': 23.837696856343804, 'test_120_days': 22.02825445780544, 'test_150_days': 21.383536714404233, 'test_180_days': 19.64243256725913, 'test_240_days': 26.733985609351794, 'test_300_days': 32.81005286606744, 'test_360_days': 36.99808217699315, 'test_480_days': 38.120774364343205, 'test_600_days': 38.07327609339967, 'test_720_days': 38.07327609339967, 'test_494_days': 38.07327609339967}",results/run_9/2_26M_train_original_MSTL_ac_MFLES2_8e5ff900.joblib
2_26M_train_log_MSTL_ac_MFLES1_94e4ce88,2,26M_train,log,MSTL_ac_MFLES1,39.83920824545486,"{'test_30_days': 20.813269486363275, 'test_60_days': 24.467953891342102, 'test_90_days': 25.792472403985123, 'test_120_days': 23.50525778772652, 'test_150_days': 22.675542667915508, 'test_180_days': 21.67409886744913, 'test_240_days': 29.669664975267313, 'test_300_days': 35.52894422410693, 'test_360_days': 39.674080163647105, 'test_480_days': 39.812216556169005, 'test_600_days': 39.83920824545486, 'test_720_days': 39.83920824545486, 'test_494_days': 39.83920824545486}",results/run_9/2_26M_train_log_MSTL_ac_MFLES1_94e4ce88.joblib
2_26M_train_trend_MSTL_ac_ARIMA_8f9676db,2,26M_train,trend,MSTL_ac_ARIMA,46.81094774484128,"{'test_30_days': 88.84122369527245, 'test_60_days': 84.09961660755117, 'test_90_days': 79.16259482312543, 'test_120_days': 75.32974007693056, 'test_150_days': 69.38647909878577, 'test_180_days': 62.49989004578354, 'test_240_days': 57.11320470591489, 'test_300_days': 54.90787130642635, 'test_360_days': 53.28194909556103, 'test_480_days': 47.48376640769493, 'test_600_days': 46.81094774484128, 'test_720_days': 46.81094774484128, 'test_494_days': 46.81094774484128}",results/run_9/2_26M_train_trend_MSTL_ac_ARIMA_8f9676db.joblib
2_26M_train_boxcox_MSTL_ac_MFLES1_4582d69a,2,26M_train,boxcox,MSTL_ac_MFLES1,41.91748576328682,"{'test_30_days': 21.60220038193171, 'test_60_days': 24.979994759618656, 'test_90_days': 26.350610625245285, 'test_120_days': 23.92950942954217, 'test_150_days': 23.22953210214258, 'test_180_days': 22.741223554788906, 'test_240_days': 32.32522881809683, 'test_300_days': 38.24672181039377, 'test_360_days': 42.26051499014499, 'test_480_days': 41.88003748616136, 'test_600_days': 41.91748576328682, 'test_720_days': 41.91748576328682, 'test_494_days': 41.91748576328682}",results/run_9/2_26M_train_boxcox_MSTL_ac_MFLES1_4582d69a.joblib
2_26M_train_trend_boxcox_MSTL_ac_ARIMA_00ca77ac,2,26M_train,trend_boxcox,MSTL_ac_ARIMA,46.81094774484128,"{'test_30_days': 88.84122369527245, 'test_60_days': 84.09961660755117, 'test_90_days': 79.16259482312543, 'test_120_days': 75.32974007693056, 'test_150_days': 69.38647909878577, 'test_180_days': 62.49989004578354, 'test_240_days': 57.11320470591489, 'test_300_days': 54.90787130642635, 'test_360_days': 53.28194909556103, 'test_480_days': 47.48376640769493, 'test_600_days': 46.81094774484128, 'test_720_days': 46.81094774484128, 'test_494_days': 46.81094774484128}",results/run_9/2_26M_train_trend_boxcox_MSTL_ac_ARIMA_00ca77ac.joblib
2_24M_train_original_MSTL_ac_ARIMA_c9e8b6d5,2,24M_train,original,MSTL_ac_ARIMA,41.48735713413665,"{'test_30_days': 31.044367061198397, 'test_60_days': 26.48974862572221, 'test_90_days': 26.314172374708445, 'test_120_days': 26.80763527198217, 'test_150_days': 27.65082668237743, 'test_180_days': 26.16993093477509, 'test_240_days': 24.137547332283596, 'test_300_days': 29.358803120939164, 'test_360_days': 34.398605033900644, 'test_480_days': 41.05173005814798, 'test_600_days': 41.48735713413665, 'test_720_days': 41.48735713413665, 'test_555_days': 41.48735713413665}",results/run_9/2_24M_train_original_MSTL_ac_ARIMA_c9e8b6d5.joblib
2_24M_train_log_MSTL_ac_ARIMA_0480ec49,2,24M_train,log,MSTL_ac_ARIMA,40.0723551439674,"{'test_30_days': 34.007682387539454, 'test_60_days': 30.419771765933234, 'test_90_days': 26.990766513164093, 'test_120_days': 26.736985214385328, 'test_150_days': 27.126749173775323, 'test_180_days': 25.450802196915127, 'test_240_days': 24.151507714693118, 'test_300_days': 30.51044644854822, 'test_360_days': 36.022560915917126, 'test_480_days': 39.82681566275799, 'test_600_days': 40.0723551439674, 'test_720_days': 40.0723551439674, 'test_555_days': 40.0723551439674}",results/run_9/2_24M_train_log_MSTL_ac_ARIMA_0480ec49.joblib
2_24M_train_boxcox_MSTL_ac_MFLES1_5e4f8006,2,24M_train,boxcox,MSTL_ac_MFLES1,41.41825667455913,"{'test_30_days': 36.361684380476746, 'test_60_days': 32.23684818027024, 'test_90_days': 28.6583954804533, 'test_120_days': 28.102334191265577, 'test_150_days': 28.33051138636909, 'test_180_days': 26.56132861924719, 'test_240_days': 25.341791592149683, 'test_300_days': 32.50238727770724, 'test_360_days': 38.17495557145252, 'test_480_days': 41.400839800075595, 'test_600_days': 41.41825667455913, 'test_720_days': 41.41825667455913, 'test_555_days': 41.41825667455913}",results/run_9/2_24M_train_boxcox_MSTL_ac_MFLES1_5e4f8006.joblib
2_22M_train_log_MSTL_abc_ARIMA_e99da065,2,22M_train,log,MSTL_abc_ARIMA,35.39315675065492,"{'test_30_days': 33.16177827735996, 'test_60_days': 33.71744006422146, 'test_90_days': 34.333831761771876, 'test_120_days': 34.118731961612006, 'test_150_days': 33.197957612864236, 'test_180_days': 33.28860350775196, 'test_240_days': 31.62406735304521, 'test_300_days': 29.3608211312682, 'test_360_days': 32.141862593936295, 'test_480_days': 36.7069982051058, 'test_600_days': 35.5577414044113, 'test_720_days': 35.39315675065492, 'test_614_days': 35.39315675065492}",results/run_9/2_22M_train_log_MSTL_abc_ARIMA_e99da065.joblib
2_22M_train_boxcox_MSTL_abc_ARIMA_b441edff,2,22M_train,boxcox,MSTL_abc_ARIMA,34.75412888186341,"{'test_30_days': 33.083021995712144, 'test_60_days': 33.99997528045847, 'test_90_days': 34.601678592285275, 'test_120_days': 34.62666784355107, 'test_150_days': 33.9319322631418, 'test_180_days': 34.09027576492053, 'test_240_days': 32.26316984059807, 'test_300_days': 29.600315282832522, 'test_360_days': 31.904917614320123, 'test_480_days': 36.2444761347772, 'test_600_days': 34.91635522302737, 'test_720_days': 34.75412888186341, 'test_614_days': 34.75412888186341}",results/run_9/2_22M_train_boxcox_MSTL_abc_ARIMA_b441edff.joblib
